strategy,chunker,model,question,gold_answer,rag_answer,gold_f1,gold_exact_match,anthropic_claude_haiku_4_5_20251001_faithfulness,anthropic_claude_haiku_4_5_20251001_relevance,anthropic_claude_haiku_4_5_20251001_conciseness,anthropic_claude_haiku_4_5_20251001_quality,anthropic_claude_haiku_4_5_20251001_scorer_latency_ms,openai_gpt_5_4_mini_faithfulness,openai_gpt_5_4_mini_relevance,openai_gpt_5_4_mini_conciseness,openai_gpt_5_4_mini_quality,openai_gpt_5_4_mini_scorer_latency_ms,consensus_quality,strategy_latency_ms,scorer_latency_ms_total,total_latency_ms,context_sent_to_llm,failure_stage,failure_stage_confidence,failure_stage_method,gold_in_chunks,gold_in_retrieved,gold_in_context,chunk_type,chunk_size,chunk_overlap,num_chunks,embed_provider,embed_model,embed_dimension,retrieval_mode,retrieval_top_k,num_chunks_retrieved,context_char_length,reranker_model,reranker_top_k,llm_provider,llm_host,llm_model,llm_quantization,dataset_name,dataset_sample_seed,gold_bertscore
naive,recursive,qwen3.5:0.8b,Are both Tim McIlrath and Spike Slawson American punk rock musicians?,yes,"Yes, both Tim McIlrath and Spike Slawson are American punk rock musicians.

Tim McIlrath is explicitly identified as an American punk rock musician known for supporting animal rights with his band Rise Against. Spike Slawson is also described as an American punk rock musician and a member of The Gimme Gimmes, which is part of the ""Swingin' Utters"" group.",0.0,True,3.0,5.0,3.0,3.6666666666666665,2773.320800013608,5.0,5.0,4.0,4.666666666666667,2654.8757999844383,4.166666666666667,4102.086099999724,5428.196599998046,9530.28269999777,"---

## Spike Slawson
Spike Slawson is an American punk rock musician, a member of Me First and the Gimme Gimmes, Swingin' Utters, Filthy Thievin' Bastards, Re-Volts, and Uke-Hunt.

---

---

## Tim McIlrath
Timothy James ""Tim"" McIlrath (born November 3, 1978) is an American punk rock musician.  He is the lead singer, rhythm guitarist, songwriter and co-founder of the American punk rock band Rise Against.  McIlrath is known to support animal rights and actively promotes PETA with his band.  He is also straight edge.

---

The Dwarves Must Die is the 2004 release by the American punk band Dwarves.  It is the band's first release on the ""Sympathy for the Record Industry"" label.  There are several cameos, including Dexter Holland from The Offspring, Nash Kato from Urge Overkill, desert rock icon Nick Oliveri, Josh Freese from The Vandals, Spike Slawson from Me First and the Gimme Gimmes, gangster rapper San Quinn, DJ Marz, and even the original Space Ghost himself, Gary Owens.  The rather freeform departure from

The Filthy Thieving Bastards is an American folk/punk rock group formed in 2000 in San Francisco, California.  The band was originally a side project put together by Johnny Bonnel and Darius Koski of the Swingin' Utters.  Spike Slawson (also from Swingin' Utters) later joined the band, along with recording engineer Randy Burk.  Greg Lisher from Camper Van Beethoven guested on guitar for several songs on their second release.  Their music is influenced by folk rock, Celtic rock, country music,

---

## The Honor System (band)
The Honor System was an American punk rock band from Chicago, Illinois, formed in 1999 by Dan Hanaway and Rob DePaola, after the breakup of their previous band The Broadways.  The band briefly featured future Rise Against frontman Tim McIlrath as a bassist.  They broke up in 2004, leaving behind two studio albums and three EPs.

---",none,,substring,False,False,False,recursive,500.0,100.0,21,ollama,all-minilm:22m,384,hybrid,5,5,1891,,,ollama,local,qwen3.5:0.8b,Q8_0,hotpotqa,42,0.8069429993629456
naive,recursive,qwen3.5:0.8b,Alan Furst and Lee Child are what?,is a British author,"Alan Furst and Lee Child are **two American authors**, as both are mentioned in the provided text as American authors who write historical spy novels, while Lee Child is a British author.

Therefore, they are both **American authors**.

(Note: While they are often cited in biographical contexts as having collaborated on *The Polish Officer*, the text provided only lists Alan Furst and does not mention a Lee Child authorship of a novel in that specific context.)",0.1052631578947368,True,1.0,4.0,2.0,2.333333333333333,2793.374999979278,1.0,4.0,2.0,2.333333333333333,2048.2688000192866,2.333333333333333,1165.3262000181712,4841.643799998565,6006.970000016736,"---

## Alan Furst
Alan Furst (born February 20, 1941) is an American author of historical spy novels. Furst has been called ""an heir to the tradition of Eric Ambler and Graham Greene,"" whom he cites along with Joseph Roth and Arthur Koestler as important influences.  Most of his novels since 1988 have been set just prior to or during the Second World War and he is noted for his successful evocations of Eastern European peoples and places during the period from 1933 to 1944.

## Kingdom of Shadows
Kingdom of Shadows (2000) is a novel by Alan Furst.  It won the 2001 Hammett Prize.

---

---

## The Polish Officer
The Polish Officer (1995) is a novel by Alan Furst.

---

## The World at Night
The World at Night (1996) is a novel by Alan Furst.

---

---

## Lee Child
James D. ""Jim"" Grant (born 29 October 1954), primarily known by his pen name Lee Child, is a British author who writes thriller novels, and is most well-known for his ""Jack Reacher"" novel series.  The books follow the adventures of a former American military policeman, Jack Reacher, who wanders the United States.  His first novel, ""Killing Floor"", won both the Anthony Award, and the Barry Award for Best First Novel.

---

since he was a child, some of his greatest writing influences were David Morrell, Raymond E. Feist, Alex Kava, Daniel Silva, Dean Koontz, Lee Child, Michael Cordy, and Steven Pressfield.  His first novel, ""Maelstrom"", made the Ned Kelly Award long list in the Best Debut Novel category.",none,,substring,True,True,True,recursive,500.0,100.0,20,ollama,all-minilm:22m,384,hybrid,5,5,1488,,,ollama,local,qwen3.5:0.8b,Q8_0,hotpotqa,42,0.8527429699897766
naive,recursive,qwen3.5:0.8b,The ancient Roman town near Fusaro Lake is now the commune of what?,Bacoli,Bacoli,1.0,True,5.0,5.0,5.0,5.0,1967.773300013505,5.0,5.0,5.0,5.0,837.6369999896269,5.0,668.7417000066489,2805.410300003132,3474.1520000097807,"---

## Fusaro Lake
Lake Fusaro (Italian: ""Lago di Fusaro"") is a lake of the Campania region that is situated west of Naples, Italy, in the territory of the community of Bacoli.  It is about 0.5 mi from Baia, and about 1 mi south of the acropolis of Cumae.  It is separated from the sea by a narrow coastal strip, it is a very unusual ecosystem of great interest, characterized by a variety of vegetation which is specific to the region.

---

Baiae (Italian: ""Baia"" ; Neapolitan: ""Baia"" ) was an ancient Roman town situated on the northwest shore of the Gulf of Naples, and now in the ""comune"" of Bacoli.  It was a fashionable resort for centuries in antiquity, particularly towards the end of the Roman Republic, when it was reckoned as superior to Pompeii, Herculaneum, and Capri by the super-rich who built luxurious villas here.  It was notorious for its hedonistic offerings and the attendant rumours of corruption and scandal.  It later

---

## Stabiae
Stabiae was an ancient Roman town near the modern town of Castellammare di Stabia and approximately 4.5 km southwest of Pompeii, and which became famous for the magnificent Roman villas found there in recent times.  The beautiful objects and frescoes taken from these villas were often sold and distributed, while many can be found in the National Archaeological Museum of Naples.

---

---

## Miróbriga
Miróbriga (""Mirobriga Celticorum"") is an ancient Roman town located near the village and civil parish of Santiago do Cacém, in the municipality of the same name in the south-west of Portugal.  Archeology revealed a that the town occupied the site of an ancient Iron Age settlement that existed since the 9th century B.C.

---

Camulodunum ( or ; Latin: ' ), the Ancient Roman name for what is now Colchester in Essex, was an important town in Roman Britain, and the first capital of the province.  It is claimed to be the oldest town in Britain.  Originally the site of the Brythonic-Celtic oppidum of Camulodunon (meaning """"The Stronghold of Camulos""""), capital of the Trinovantes and later the Catuvellauni tribes, it was first mentioned by name on coinage minted by the chieftain Tasciovanus sometime between 20 and 10 BC.",none,,substring,True,True,True,recursive,500.0,100.0,18,ollama,all-minilm:22m,384,hybrid,5,5,2191,,,ollama,local,qwen3.5:0.8b,Q8_0,hotpotqa,42,1.000000238418579
naive,recursive,qwen3.5:0.8b,the 1989 Eurovision Song Contest took place in a city situated on the shores of which lake ?,Lake Geneva,"The 1989 Eurovision Song Contest took place in Lausanne, Switzerland. Lausanne is situated on the shores of Lake Zurich.",0.0999999999999999,False,2.0,5.0,5.0,4.0,2079.8065999988467,1.0,4.0,5.0,3.333333333333333,2263.438500027405,3.666666666666667,822.6502999896184,4343.245100026252,5165.89540001587,"---

## Belgium in the Eurovision Song Contest 1989
Belgium was represented by Ingeborg, with the song '""Door de wind"", at the 1989 Eurovision Song Contest, which took place in Lausanne, Switzerland on 6 May.  Ingeborg was the winner of the Belgian national final for the contest, held in Brussels on 18 March.

---

## Eurovision Song Contest 1998
The Eurovision Song Contest 1998 was the 43rd annual Eurovision Song Contest.  The contest took place in Birmingham in the United Kingdom, following Katrina and the Waves's win in the 1997 contest in Dublin with ""Love Shine A Light"".  It was the UK's fifth win, and the eighth time that the UK hosted the contest, the last being in Harrogate in 1982.  The UK has not won or hosted the contest since.  The contest took place in the National Indoor Arena on 9 May 1998.

The Eurovision Song Contest 1992 was the 37th Eurovision Song Contest and was held on 9 May 1992 in Malmö, Sweden.  The presenters were Lydia Cappolicchio and Harald Treutiger.  Linda Martin, representing Ireland, was the winner of this Eurovision with the song Why Me? .  The song was written by Johnny Logan, who had won the 1980 contest as singer and the 1987 contest as singer/songwriter.  The contest took place at Malmömässan, a large exhibition and conference centre, where the stage set was

The Eurovision Song Contest 2015 was the 60th edition of the annual Eurovision Song Contest musical event.  The contest took place in Vienna, Austria, following Austrian Conchita Wurst's victory in the 2014 edition.  This was the second time that Austria hosted the contest; the 1967 edition being the first (also hosted in Vienna).  The 2015 contest consisted of two semi-finals, which took place on 3-4 October, and a final, held on 5 October 2015.  The shows were presented by Mirjam

The Eurovision Song Contest 2017 was the 62nd edition of the Eurovision Song Contest.  It took place in the International Exhibition Centre in Kiev, Ukraine, following Ukraine's victory at the 2016 contest in Stockholm with the song ""1944"", written and performed by Jamala.  This was the second time the contest took place in Kiev, after 2005 , as well as the fourth Eurovision event, after the Junior Eurovision Song Contest in 2009 and 2013 .  The contest consisted of two semi-finals on 9 and 11",retrieval,high,substring,True,False,False,recursive,500.0,100.0,33,ollama,all-minilm:22m,384,hybrid,5,5,2304,,,ollama,local,qwen3.5:0.8b,Q8_0,hotpotqa,42,0.820341944694519
naive,recursive,qwen3.5:0.8b,"The Great Escape is a 1963 American World War II epic film based on an escape by British Commonwealth prisoners of war from a German POW camp during World War II, starring which American actor, called ""The King of Cool""?","Terence Steven ""Steve"" McQueen",Steve McQueen,0.3333333333333333,False,5.0,5.0,5.0,5.0,1531.0492999851704,5.0,5.0,5.0,5.0,1216.0149000119418,5.0,760.3234999987762,2747.064199997112,3507.3876999958884,"---

## The Great Escape (film)
The Great Escape is a 1963 American World War II epic film based on an escape by British Commonwealth prisoners of war from a German POW camp during World War II, starring Steve McQueen, James Garner, and Richard Attenborough, filmed in Panavision.

---

The Great Escape is an insider's account by Australian writer Paul Brickhill of the 1944 mass escape from the German prisoner of war camp Stalag Luft III for British and Commonwealth airmen.  As a prisoner in the camp, he participated in the escape plan but was debarred from the actual escape 'along with three or four others on grounds of claustrophobia'.  The introduction to the book is written by George Harsh, an American POW at Stalag Luft III.  This book was made into the 1963 film ""The

by George Harsh, an American POW at Stalag Luft III.  This book was made into the 1963 film ""The Great Escape"".

Terence Steven ""Steve"" McQueen (March 24, 1930 – November 7, 1980) was an American actor.  Called ""The King of Cool"", his ""anti-hero"" persona developed at the height of the counterculture of the 1960s and made him a top box-office draw of the 1960s and 1970s.  McQueen received an Academy Award nomination for his role in ""The Sand Pebbles"".  His other popular films include ""The Cincinnati Kid"", ""The Thomas Crown Affair"", ""Bullitt"", ""The Getaway"", and ""Papillon"", as well as the all-star ensemble

## Angler POW escape
In April 1941, inmates at the Angler POW Camp near Neys Provincial Park on the north shore of Lake Superior planned the largest escape from a Canadian POW camp during World War II.  The escape was the largest of its kind in Ontario, Canada.

---",generation,high,substring,True,True,True,recursive,500.0,100.0,16,ollama,all-minilm:22m,384,hybrid,5,5,1663,,,ollama,local,qwen3.5:0.8b,Q8_0,hotpotqa,42,0.8848125338554382
naive,recursive,qwen3.5:0.8b,What is the title of Jung Ji-hoon's first single from his third album? ,"""It's Raining""","Rain's third album title track is ""Surprise"", but the question refers to Jung Ji-hoon's third album. The provided text mentions that the third album ""Chief"" is by a R&B singer named Tevin Campbell, not Jung Ji-hoon. Therefore, the context does not contain the title of Jung Ji-hoon's first single from his third album.",0.0,False,2.0,4.0,4.0,3.333333333333333,2936.395700002322,2.0,2.0,3.0,2.333333333333333,1393.839600001229,2.833333333333333,1285.0319999852218,4330.235300003551,5615.267299988773,"---

## Rain (entertainer)
Jung Ji-hoon (, born June 25, 1982), better known by his stage name Rain (Korean 비 IPA ['piː]), is a South Korean singer-songwriter, actor, and music producer.

---

in 1983 on the compilation album Catching Up With Mezzoforte which also included 7 songs from their second album, ""Í Hakanum/Octopus"" and peaked at #95 on the UK Album Chart.  Even though the third album’s title track was translated as ""Surprise"", the album is sometimes referred to in English as ""Dreamland"", which is the only song from the album released on a single, thus it can’t be confused with their fourth album, titled ""Surprise Surprise"" which was an international success, peaking at #23

---

## It's Raining (Rain song)
""It's Raining"" is a Korean language song, and the first single from the third album, by Korean R&B singer, Rain.

---

---

## Back to the World (song)
""Back to the World"" is the first single from R&B singer Tevin Campbell's third album of the same name.  Written by Jamey Jaz, Rahsaan Patterson and Mikelyn Roderick, it was the only single from his third album to garner decent success on the charts, peaking at #16 on the R&B Charts.  It was also the only single from the album to reach the Hot 100, peaking at #47.  This is Tevin's 10th and last single to date to reach the top 20 on the R&B Charts.

Smoke"", peaked at #16.  His third album, ""Chief"", was also his first for EMI Records' Nashville division.  Its lead single, ""Homeboy"", peaked at #13 followed by his first and second #1 hits, ""Drink in My Hand"" and ""Springsteen"".  The next singles, ""Creepin'"" and ""Like Jesus Does"", both made the top 10.  He served as a featured artist with Luke Bryan on Jason Aldean's #1 single ""The Only Way I Know"".",generation,high,substring,True,True,True,recursive,500.0,100.0,32,ollama,all-minilm:22m,384,hybrid,5,5,1732,,,ollama,local,qwen3.5:0.8b,Q8_0,hotpotqa,42,0.8336419463157654
naive,recursive,qwen3.5:0.8b,"Which magazine is published by with an independent volunteer editor, Doctor Who Magazine or National Contest Journal?",National Contest Journal,"Doctor Who Magazine

According to the context provided, the **National Contest Journal** (NCJ) is described as ""an independent volunteer editor,"" while the **Doctor Who Magazine** is described as a magazine ""devoted to the long-running British science fiction television series"" (without specifying whether it has an independent volunteer editor).",0.05,True,1.0,5.0,4.0,3.333333333333333,2895.872299995972,2.0,2.0,3.0,2.333333333333333,1354.9442999938035,2.833333333333333,990.771400014637,4250.816599989776,5241.588000004413,"## National Contest Journal
The National Contest Journal (also referred to by the acronym NCJ) is a bimonthly magazine published by the American Radio Relay League, with an independent volunteer editor.  The magazine covers topics related to amateur radio contesting.  The magazine is published in English and draws its subscription base primarily from the United States of America and Canada.

---

---

## Doctor Who Magazine
Doctor Who Magazine (abbreviated as DWM) is a magazine devoted to the long-running British science fiction television series ""Doctor Who"".  Its current editor is Marcus Hearn, who took over from the magazine's longest-serving editor, Tom Spilsbury, in July 2017.  It is currently recognised by ""Guinness World Records"" as the longest running TV tie-in magazine.

---

---

## NARAM
NARAM is the Annual Meet of the National Association of Rocketry (NAR).  It is the national contest culminating the rocket contest year, and also includes fun, or ""sport,"" flying of model rockets for those who don't wish to compete.  The NAR is the governing body for the sport/hobby of model rocketry in the United States.  NARAM is traditionally held the first week of August.

---

her storybook ""La Furia de las pestes"", soon to be published.  She was included in the anthologies ""Quand elles se glissent dans la peau d'un homme"" (Éditions Michalon, Francia.  2007), ""Una terraza propia"" (Norma, 2006), ""La joven guardia"" (Norma, 2005), ""Cuentos Argentinos"" (Siruela, España 2004), among others.  In 2010 she was chosen by the Granta magazine as one of the 22 best writers in Spanish under 35 years.  Some of her stories have been translated into English, French, Serbian,

---

## Rube Goldberg Machine Contest
The Rube Goldberg Machine Contest is a contest in which college or high school students build devices to complete a simple task in a minimum of twenty steps in the style of American cartoonist Rube Goldberg.  Local contests are held throughout the United States, and local winners are eligible to compete in the national contest.",none,,substring,True,True,True,recursive,500.0,100.0,23,ollama,all-minilm:22m,384,hybrid,5,5,2055,,,ollama,local,qwen3.5:0.8b,Q8_0,hotpotqa,42,0.8272866010665894
naive,recursive,qwen3.5:0.8b,Who resigned as the Welsh Assembly Member for the North Wales region to represent Eddisbury in the House of Commons in the UK Parliament in 2015?,Antoinette Sandbach,"According to the context, **Antoinette Sandbach** resigned as the Welsh Assembly Member for the North Wales region, having been elected as a Member of Parliament for Eddisbury at the 2015 general election.",0.0,True,5.0,5.0,4.0,4.666666666666667,2128.02879998344,5.0,5.0,5.0,5.0,857.471399998758,4.833333333333334,815.6942999921739,2985.500199982198,3801.194499974372,"## Eddisbury (UK Parliament constituency)
Eddisbury is a constituency in Cheshire represented in the House of Commons of the UK Parliament since 2015 by Antoinette Sandbach, a Conservative.

---

---

## Antoinette Sandbach
Antoinette Geraldine Mackeson-Sandbach (born 15 February 1969), known in politics as Antoinette Sandbach, is a Conservative Party politician who was elected as the Member of Parliament for Eddisbury at the 2015 general election.  The following day, 8 May 2015, she resigned as the Welsh Assembly Member for the North Wales region.  having been elected as a North Wales regional Assembly Member at the May 2011 election.

---

to focus on his work in the Welsh Assembly.  In 2007, Jones was named Wales' ""Politician of the Year"" by the BBC Wales am.pm programme.  He resigned from the Welsh Assembly on 20 June 2013.  In 2017 he unsuccessfully sought to return to the House of Commons for his former constituency.

Brynle Williams (9 January 1949 – 1 April 2011) was a North Wales Assembly Member (AM) for the Welsh Conservative Party in the National Assembly for Wales.  Elected from the North Wales Regional list, he was Shadow Minister for Rural Affairs from 2007 to 2011.  Williams, who was a farmer from North Wales, was a colourful political figure who was respected for his straight talking and campaigning on rural issues; although privately he admitted he never saw himself as a politician.

Ieuan Wyn Jones (born 22 May 1949) is a Welsh politician who was the Deputy First Minister in the Welsh Assembly Government from 2007 to 2011.  He was the Member of the National Assembly for Wales for the Ynys Môn constituency from 1999 to 2013, and he was also leader of Plaid Cymru from 2000 to 2012.  Jones served as Member of Parliament for Ynys Môn constituency from 1987 to 2001, when he retired to focus on his work in the Welsh Assembly.  In 2007, Jones was named Wales' ""Politician of the",none,,substring,True,True,True,recursive,500.0,100.0,18,ollama,all-minilm:22m,384,hybrid,5,5,1921,,,ollama,local,qwen3.5:0.8b,Q8_0,hotpotqa,42,0.8553237915039062
naive,recursive,qwen3.5:0.8b,"The Texas–Arlington Mavericks women's basketball team is an NCAA Division I college basketball team competing in the Sun Belt Conference and representing the University of Texas at Arlington, the team appeared in the 2005 NCAA tournament, losing to which female basketball team represents Texas Tech University and competes in the Big 12 Conference of NCAA Division I?",Texas Tech Lady Raiders basketball,Texas Tech Lady Raiders basketball.,0.8000000000000002,True,5.0,5.0,5.0,5.0,2225.839400023688,5.0,5.0,5.0,5.0,1042.80490000383,5.0,533.9394000184257,3268.6443000275176,3802.5837000459433,"The Texas–Arlington Mavericks women's basketball team is an NCAA Division I college basketball team competing in the Sun Belt Conference and representing the University of Texas at Arlington.  Home games are played at College Park Center, located on University of Texas at Arlington's campus in Arlington.  The team appeared in the 2005 NCAA tournament, losing to #4 seed Texas Tech in the first round, 69–49, and the 2007 NCAA tournament, dropping their first round game to #4 seed Texas A&M 58–50.

## Texas–Arlington Mavericks men's basketball
The Texas–Arlington Mavericks men's basketball team is an NCAA Division I college basketball team competing in the Sun Belt Conference.  Home games are played at College Park Center, located on the University of Texas at Arlington's campus in Arlington.  The team appeared in the 2008 NCAA tournament, losing against the #1 seed Memphis in the first round, although Memphis was later forced to vacate the win due to infractions committed by the program.

The Texas–Arlington Mavericks volleyball team, historically one of the most nationally prominent teams on campus, is an NCAA Division I college volleyball team competing in the Sun Belt Conference.  Home games are played at College Park Center, located on University of Texas at Arlington's campus in Arlington.  The team has appeared in eight AIAW National Tournaments, eight NCAA Tournaments and one National Invitational Volleyball Championship Tournament, collecting 12 regular seasons titles

---

## Texas Tech Lady Raiders basketball
The Texas Tech Lady Raiders basketball team represents Texas Tech University and competes in the Big 12 Conference of NCAA Division I.  Candace Whitaker, a former player for the Lady Raiders, was named head coach in 2013.  In her inaugural season in 2013–14, the team finished winless in league play with a conference mark of 0–18.

---

The Texas Tech Red Raiders Basketball team represents Texas Tech University in Lubbock, Texas, United States in NCAA Division I men's basketball competition (the school's women's basketball team is known as the ""Lady Raiders"".)  Until April 2016, the team was coached by Tubby Smith, who guided the team to the 2016 NCAA Tournament appearance, its first appearance in the event since 2007.  With Smith's departure to coach the Memphis Tigers, the school hired former Arkansas-Little Rock coach Chris",none,,substring,True,True,True,recursive,500.0,100.0,35,ollama,all-minilm:22m,384,hybrid,5,5,2380,,,ollama,local,qwen3.5:0.8b,Q8_0,hotpotqa,42,0.9913843274116516
naive,recursive,qwen3.5:0.8b,What is the middle name of the daughter of Paul M. Fleiss?,Lynne,"Based on the provided context, there is no mention of a daughter of Paul M. Fleiss. The text only details Paul Murray Fleiss's birth name and birth certificate record, but does not mention any children named Ryder or Lyman.

Answer: Not mentioned in the context.",0.0,False,2.0,4.0,5.0,3.6666666666666665,2552.614700020058,2.0,3.0,3.0,2.6666666666666665,1384.9208999890834,3.1666666666666665,846.3199000107124,3937.5356000091415,4783.855500019854,"## Paul M. Fleiss

Paul Murray Fleiss (September 8, 1933 – July 19, 2014) was an American pediatrician and author known for his unconventional medical views.  Fleiss was a popular and sought-after pediatrician in the Greater Los Angeles area, both among poor and middle-class patients living near his Los Feliz office and among Southern California celebrities.  Fleiss was a breastfeeding and anti-circumcision advocate.  He recommended but did not insist upon childhood vaccinations, and stated he could be ""convinced

---

## Heidi Fleiss
Heidi Lynne Fleiss (born December 30, 1965) is an American former madam, and also a columnist and television personality regularly featured in the 1990s in American media.  She ran a prostitution ring based in Los Angeles, California, and is often referred to as the ""Hollywood Madam"".

---

given the middle name ""Ryman"" but a clerical error on his birth certificate resulted in his middle name being recorded as ""Lyman.""

---

## Latvian name
Latvian names, like in most European cultures, consist of two main elements: the given name (""vārds"") followed by family name (""uzvārds"").  During the Soviet occupation (1940 - 1991) the practice of giving a middle name was discouraged, but since the restoration of Independence Latvian legislation again allows giving of up to two given names and it has become more common to give a middle name to children.

---",generation,high,substring,True,True,True,recursive,500.0,100.0,22,ollama,all-minilm:22m,384,hybrid,5,5,1399,,,ollama,local,qwen3.5:0.8b,Q8_0,hotpotqa,42,0.8229941725730896
